searge,mcp,side,desc
field_192125_e,INVENTORY_CHANGED,2,
field_192126_f,RECIPE_UNLOCKED,2,
field_192127_g,PLAYER_HURT_ENTITY,2,
field_192128_h,ENTITY_HURT_PLAYER,2,
field_192129_i,ENCHANTED_ITEM,2,
field_192130_j,BREWED_POTION,2,
field_192131_k,CONSTRUCT_BEACON,2,
field_192132_l,USED_ENDER_EYE,2,
field_192133_m,SUMMONED_ENTITY,2,
field_192134_n,BRED_ANIMALS,2,
field_192135_o,LOCATION,2,
field_192136_p,SLEPT_IN_BED,2,
field_192137_q,CURED_ZOMBIE_VILLAGER,2,
field_192138_r,VILLAGER_TRADE,2,
field_193132_s,ITEM_DURABILITY_CHANGED,2,
field_193133_t,LEVITATION,2,
field_193134_u,CHANGED_DIMENSION,2,
field_193135_v,TICK,2,
field_193136_w,TAME_ANIMAL,2,
field_193137_x,PLACED_BLOCK,2,
field_193138_y,CONSUME_ITEM,2,
field_193139_z,EFFECTS_CHANGED,2,
field_193130_A,USED_TOTEM,2,
field_193131_B,NETHER_TRAVEL,2,
field_192139_s,REGISTRY,2,
field_192139_s,REGISTRY,2,
field_192121_a,IMPOSSIBLE,2,
field_192122_b,PLAYER_KILLED_ENTITY,2,
field_192123_c,ENTITY_KILLED_PLAYER,2,
field_192124_d,ENTER_BLOCK,2,
field_192125_e,INVENTORY_CHANGED,2,
field_192126_f,RECIPE_UNLOCKED,2,
field_192127_g,PLAYER_HURT_ENTITY,2,
field_192128_h,ENTITY_HURT_PLAYER,2,
field_192129_i,ENCHANTED_ITEM,2,
field_192130_j,BREWED_POTION,2,
field_192131_k,CONSTRUCT_BEACON,2,
field_192132_l,USED_ENDER_EYE,2,
field_192133_m,SUMMONED_ENTITY,2,
field_192134_n,BRED_ANIMALS,2,
field_192135_o,LOCATION,2,
field_192136_p,SLEPT_IN_BED,2,
field_192137_q,CURED_ZOMBIE_VILLAGER,2,
field_192138_r,VILLAGER_TRADE,2,
field_193132_s,ITEM_DURABILITY_CHANGED,2,
field_193133_t,LEVITATION,2,
field_193134_u,CHANGED_DIMENSION,2,
field_193135_v,TICK,2,
field_193136_w,TAME_ANIMAL,2,
field_193137_x,PLACED_BLOCK,2,
field_193138_y,CONSUME_ITEM,2,
field_193139_z,EFFECTS_CHANGED,2,
